Date	Time	FIC207.PIDA.SP	FIC207.PIDA.PV	FIC207.PIDA.OP
2014-5-12	9:00:00	53.39	53.36	49.46	
2014-5-12	8:00:00	53.36	53.35	49.43	
2014-5-12	7:00:00	53.28	53.27	49.34	
2014-5-12	6:00:00	53.48	53.49	49.50	
2014-5-12	5:00:00	53.48	53.44	49.50	
2014-5-12	4:00:00	53.44	53.45	49.39	
2014-5-12	3:00:00	53.52	53.54	49.47	
2014-5-12	2:00:00	53.51	53.52	49.36	
2014-5-12	1:00:00	53.30	53.27	49.24	
2014-5-12	00:00:00	53.20	53.17	49.18	
2014-5-11	23:00:00	53.14	53.15	49.12	
2014-5-11	22:00:00	53.05	53.07	48.97	
2014-5-11	21:00:00	53.15	53.10	49.18	
2014-5-11	20:00:00	53.02	53.03	49.09	
2014-5-11	19:00:00	52.99	52.96	49.11	
2014-5-11	18:00:00	52.95	52.94	49.01	
2014-5-11	17:00:00	52.97	52.97	48.94	
2014-5-11	16:00:00	52.96	52.96	48.90	
2014-5-11	15:00:00	53.01	52.99	48.92	
2014-5-11	14:00:00	53.02	53.03	48.99	
2014-5-11	13:00:00	52.89	52.90	48.98	
2014-5-11	12:00:00	52.84	52.84	48.91	
2014-5-11	11:00:00	53.01	53.01	49.06	
2014-5-11	10:00:00	53.21	53.20	49.26	
2014-5-11	9:00:00	53.06	53.05	49.14	
2014-5-11	8:00:00	52.92	52.91	49.01	
2014-5-11	7:00:00	53.07	53.07	49.10	
2014-5-11	6:00:00	52.94	52.91	48.99	
2014-5-11	5:00:00	53.01	53.04	49.06	
2014-5-11	4:00:00	53.07	53.07	49.10	
2014-5-11	3:00:00	52.92	52.90	48.89	
2014-5-11	2:00:00	52.93	52.95	48.81	
2014-5-11	1:00:00	53.32	53.31	49.18	
2014-5-11	00:00:00	52.89	52.88	48.76	
2014-5-10	23:00:00	52.86	52.85	48.72	
2014-5-10	22:00:00	52.86	52.84	48.68	
2014-5-10	21:00:00	52.71	52.72	48.55	
2014-5-10	20:00:00	52.65	52.68	48.49	
2014-5-10	19:00:00	52.49	52.49	48.44	
2014-5-10	18:00:00	52.57	52.55	48.51	
2014-5-10	17:00:00	52.45	52.44	48.39	
2014-5-10	16:00:00	53.11	53.10	48.88	
2014-5-10	15:00:00	52.68	52.69	48.53	
2014-5-10	14:00:00	52.74	52.71	48.68	
2014-5-10	13:00:00	52.85	52.84	48.74	
2014-5-10	12:00:00	52.86	52.88	48.60	
2014-5-10	11:00:00	53.06	53.04	48.70	
2014-5-10	10:00:00	52.98	52.96	48.69	
2014-5-10	9:00:00	53.12	53.10	48.85	
2014-5-10	8:00:00	53.00	53.00	48.66	
2014-5-10	7:00:00	53.05	53.09	48.71	
2014-5-10	6:00:00	52.91	52.92	48.63	
2014-5-10	5:00:00	53.10	53.10	48.75	
2014-5-10	4:00:00	52.96	52.96	48.61	
