Date	Time	FIC208.PIDA.SP	FIC208.PIDA.PV	FIC208.PIDA.OP	FIC209.PIDA.SP	FIC209.PIDA.PV	FIC209.PIDA.OP	
2014-5-12	9:00:00	53.39	53.44	46.68	53.39	53.39	49.41	
2014-5-12	8:00:00	53.36	53.42	46.64	53.36	53.34	49.48	
2014-5-12	7:00:00	53.28	53.25	46.64	53.28	53.27	49.39	
2014-5-12	6:00:00	53.48	53.45	46.80	53.48	53.41	49.59	
2014-5-12	5:00:00	53.48	53.51	46.74	53.48	53.47	49.64	
2014-5-12	4:00:00	53.44	53.45	46.71	53.44	53.49	49.63	
2014-5-12	3:00:00	53.52	53.50	46.78	53.52	53.63	49.69	
2014-5-12	2:00:00	53.51	53.44	46.79	53.51	53.47	49.66	
2014-5-12	1:00:00	53.30	53.31	46.57	53.30	53.22	49.52	
2014-5-12	00:00:00	53.20	53.15	46.55	53.20	53.20	49.43	
2014-5-11	23:00:00	53.14	53.09	46.50	53.14	53.09	49.45	
2014-5-11	22:00:00	53.05	53.03	46.35	53.04	53.00	49.39	
2014-5-11	21:00:00	53.15	53.15	46.41	53.14	53.26	49.36	
2014-5-11	20:00:00	53.02	52.96	46.34	53.02	53.02	49.35	
2014-5-11	19:00:00	52.98	52.93	46.26	52.99	52.95	49.31	
2014-5-11	18:00:00	52.95	52.92	46.24	52.96	52.94	49.29	
2014-5-11	17:00:00	52.97	52.95	46.19	52.97	52.94	49.26	
2014-5-11	16:00:00	52.96	52.97	46.17	52.95	52.93	49.28	
2014-5-11	15:00:00	53.01	52.96	46.30	53.01	52.99	49.21	
2014-5-11	14:00:00	53.02	53.07	46.23	53.02	52.96	49.29	
2014-5-11	13:00:00	52.89	52.90	46.18	52.89	52.80	49.16	
2014-5-11	12:00:00	52.84	52.80	46.16	52.84	52.80	49.08	
2014-5-11	11:00:00	53.01	53.03	46.27	53.01	52.94	49.24	
2014-5-11	10:00:00	53.21	53.18	46.49	53.20	53.25	49.24	
2014-5-11	9:00:00	53.06	53.07	46.46	53.06	53.21	49.08	
2014-5-11	8:00:00	52.93	53.00	46.20	52.91	52.92	48.95	
2014-5-11	7:00:00	53.07	53.07	46.26	53.07	53.08	49.06	
2014-5-11	6:00:00	52.94	52.95	46.21	52.94	53.00	48.97	
2014-5-11	5:00:00	53.01	53.00	46.28	53.01	53.03	48.93	
2014-5-11	4:00:00	53.07	53.03	46.34	53.08	53.10	48.95	
2014-5-11	3:00:00	52.92	52.89	46.27	52.92	52.92	48.93	
2014-5-11	2:00:00	52.93	52.98	46.18	52.93	52.95	48.98	
2014-5-11	1:00:00	53.32	53.30	46.47	53.32	53.33	49.24	
2014-5-11	00:00:00	52.89	52.88	46.20	52.89	52.91	48.93	
2014-5-10	23:00:00	52.86	52.80	46.09	52.86	52.86	48.76	
2014-5-10	22:00:00	52.86	52.86	45.98	52.86	52.84	48.76	
2014-5-10	21:00:00	52.71	52.69	45.87	52.71	52.72	48.52	
2014-5-10	20:00:00	52.65	52.70	45.80	52.65	52.69	48.45	
2014-5-10	19:00:00	52.49	52.49	45.66	52.49	52.50	48.48	
2014-5-10	18:00:00	52.57	52.57	45.62	52.57	52.56	48.58	
2014-5-10	17:00:00	52.45	52.42	45.53	52.45	52.45	48.48	
2014-5-10	16:00:00	53.10	53.09	45.95	53.10	53.12	48.88	
2014-5-10	15:00:00	52.68	52.65	45.66	52.67	52.66	48.60	
2014-5-10	14:00:00	52.74	52.69	45.75	52.74	52.74	48.62	
2014-5-10	13:00:00	52.85	52.88	45.75	52.85	52.86	48.66	
2014-5-10	12:00:00	52.86	52.85	45.71	52.86	52.88	48.56	
2014-5-10	11:00:00	53.06	53.05	45.81	53.06	53.02	48.70	
2014-5-10	10:00:00	52.98	52.99	45.70	52.98	53.01	48.59	
2014-5-10	9:00:00	53.12	53.13	45.78	53.12	53.11	48.75	
2014-5-10	8:00:00	52.99	53.02	45.70	53.00	52.92	48.78	
2014-5-10	7:00:00	53.04	53.06	45.76	53.05	53.13	48.71	
2014-5-10	6:00:00	52.91	52.94	45.67	52.91	53.00	48.63	
2014-5-10	5:00:00	53.10	53.14	45.75	53.10	53.15	48.76	
2014-5-10	4:00:00	52.96	53.03	45.61	52.96	52.92	48.67	
2014-5-10	3:00:00	52.86	52.82	45.58	52.86	52.88	48.60	
2014-5-10	2:00:00	52.88	52.85	45.58	52.88	52.86	48.62	
2014-5-10	1:00:00	52.82	52.80	45.56	52.82	52.81	48.61	
2014-5-10	00:00:00	52.84	52.82	45.64	52.84	52.81	48.62	
2014-5-9	23:00:00	52.85	52.86	45.63	52.85	52.86	48.57	
2014-5-9	22:00:00	52.68	52.69	45.50	52.68	52.68	48.45	
2014-5-9	21:00:00	53.00	52.96	45.76	53.00	52.98	48.72	
2014-5-9	20:00:00	52.76	52.77	45.56	52.76	52.74	48.55	
2014-5-9	19:00:00	52.96	52.96	45.69	52.96	52.99	48.71	
2014-5-9	18:00:00	52.83	52.87	45.55	52.83	52.80	48.71	
2014-5-9	17:00:00	52.97	52.94	45.71	52.97	52.93	48.81	
2014-5-9	16:00:00	52.93	52.92	45.65	52.93	52.98	48.72	
2014-5-9	15:00:00	53.04	53.02	45.75	53.04	53.11	48.81	
2014-5-9	14:00:00	52.99	52.98	45.73	52.99	52.98	48.77	
2014-5-9	13:00:00	53.06	53.04	45.79	53.06	53.07	48.79	
2014-5-9	12:00:00	53.02	53.01	45.73	53.02	53.02	48.78	
2014-5-9	11:00:00	53.07	53.06	45.78	53.07	53.06	48.81	
2014-5-9	10:00:00	53.08	53.13	45.75	53.08	53.09	48.76	
2014-5-9	9:00:00	53.04	53.08	45.76	53.04	53.05	48.70	
2014-5-9	8:00:00	52.99	52.99	45.75	52.99	53.01	48.74	
2014-5-9	7:00:00	53.02	53.04	45.74	53.02	53.01	48.74	
2014-5-9	6:00:00	52.97	52.94	45.75	52.97	52.98	48.68	
2014-5-9	5:00:00	52.99	52.99	45.76	52.99	52.99	48.68	
2014-5-9	4:00:00	53.01	52.99	45.80	53.01	53.00	48.65	
2014-5-9	3:00:00	52.96	52.94	45.76	52.96	52.98	48.65	
2014-5-9	2:00:00	53.04	53.03	45.81	53.04	53.04	48.75	
2014-5-9	1:00:00	52.94	52.92	45.73	52.94	52.93	48.62	
2014-5-9	00:00:00	53.07	53.07	45.78	53.07	53.09	48.71	
2014-5-8	23:00:00	53.03	53.06	45.73	53.03	53.02	48.66	
2014-5-8	22:00:00	52.76	52.76	45.53	52.76	52.78	48.46	
2014-5-8	21:00:00	52.75	52.70	45.60	52.74	52.75	48.49	
2014-5-8	20:00:00	52.77	52.81	45.56	52.78	52.79	48.56	
2014-5-8	19:00:00	52.90	52.94	45.65	52.90	52.93	48.67	
2014-5-8	18:00:00	52.72	52.70	45.57	52.72	52.73	48.49	
2014-5-8	17:00:00	52.78	52.72	45.65	52.78	52.76	48.58	
2014-5-8	16:00:00	52.70	52.65	45.57	52.70	52.70	48.50	
2014-5-8	15:00:00	52.82	52.86	45.58	52.82	52.81	48.67	
2014-5-8	14:00:00	52.72	52.72	45.53	52.72	52.72	48.43	
2014-5-8	13:00:00	52.77	52.73	45.61	52.77	52.81	48.47	
2014-5-8	12:00:00	52.83	52.82	45.62	52.83	52.84	48.53	
2014-5-8	11:00:00	52.61	52.59	45.50	52.61	52.62	48.35	
2014-5-8	10:00:00	52.84	52.84	45.66	52.84	52.84	48.64	
2014-5-8	9:00:00	52.79	52.79	45.61	52.79	52.79	48.55	
2014-5-8	8:00:00	52.75	52.75	45.59	52.75	52.75	48.50	
2014-5-8	7:00:00	52.82	52.84	45.65	52.82	52.80	48.62	
2014-5-8	6:00:00	52.80	52.85	45.65	52.80	52.79	48.75	
2014-5-8	5:00:00	52.67	52.67	45.62	52.68	52.67	48.70	
2014-5-8	4:00:00	52.63	52.60	45.63	52.63	52.62	48.62	
2014-5-8	3:00:00	52.66	52.71	45.59	52.66	52.67	48.59	
2014-5-8	2:00:00	52.94	52.93	45.87	52.94	52.93	48.87	
2014-5-8	1:00:00	53.16	53.14	46.06	53.16	53.15	49.06	
2014-5-8	00:00:00	53.17	53.14	46.12	53.17	53.18	49.07	
2014-5-7	23:00:00	53.30	53.28	46.21	53.30	53.28	49.14	
2014-5-7	22:00:00	53.32	53.30	46.25	53.32	53.35	49.14	
2014-5-7	21:00:00	53.52	53.51	46.45	53.52	53.53	49.21	
2014-5-7	20:00:00	53.64	53.69	46.47	53.64	53.67	49.34	
2014-5-7	19:00:00	53.39	53.44	46.26	53.39	53.40	49.13	
2014-5-7	18:00:00	53.21	53.23	46.14	53.21	53.17	49.05	
2014-5-7	17:00:00	53.00	52.99	46.04	53.00	53.00	48.92	
2014-5-7	16:00:00	52.85	52.81	45.95	52.84	52.86	48.80	
2014-5-7	15:00:00	52.83	52.79	45.94	52.83	52.80	48.74	
2014-5-7	14:00:00	52.68	52.65	45.82	52.68	52.67	48.50	
2014-5-7	13:00:00	52.53	52.56	45.67	52.53	52.51	48.42	
2014-5-7	12:00:00	52.44	52.45	45.58	52.45	52.45	48.38	
2014-5-7	11:00:00	52.43	52.41	45.56	52.43	52.39	48.49	
2014-5-7	10:00:00	52.39	52.38	45.53	52.39	52.39	48.48	
2014-5-7	9:00:00	52.45	52.44	45.56	52.45	52.46	48.57	
2014-5-7	8:00:00	52.63	52.61	45.67	52.63	52.65	48.73	
2014-5-7	7:00:00	52.67	52.66	45.67	52.67	52.67	48.82	
2014-5-7	6:00:00	52.39	52.39	45.58	52.39	52.38	48.69	
2014-5-7	5:00:00	52.57	52.60	45.71	52.58	52.55	48.94	
2014-5-7	4:00:00	52.58	52.57	45.75	52.58	52.56	48.85	
2014-5-7	3:00:00	52.53	52.53	45.71	52.53	52.53	48.74	
2014-5-7	2:00:00	52.49	52.47	45.69	52.49	52.49	48.68	
2014-5-7	1:00:00	52.64	52.63	45.79	52.64	52.68	48.83	
2014-5-7	00:00:00	52.48	52.49	45.64	52.48	52.50	48.72	
2014-5-6	23:00:00	52.63	52.62	45.75	52.63	52.64	48.82	
2014-5-6	22:00:00	52.50	52.49	45.67	52.50	52.49	48.72	
2014-5-6	21:00:00	52.62	52.63	45.79	52.62	52.64	48.87	
2014-5-6	20:00:00	52.83	52.82	45.99	52.83	52.80	49.03	
2014-5-6	19:00:00	52.91	52.92	46.05	52.91	52.91	49.02	
2014-5-6	18:00:00	52.86	52.80	46.01	52.85	52.83	48.91	
2014-5-6	17:00:00	52.48	52.45	45.69	52.48	52.51	48.52	
2014-5-6	16:00:00	52.43	52.44	45.65	52.43	52.43	48.47	
2014-5-6	15:00:00	52.50	52.51	45.74	52.50	52.50	48.50	
2014-5-6	14:00:00	52.52	52.50	45.78	52.52	52.51	48.62	
2014-5-6	13:00:00	52.51	52.51	45.78	52.51	52.53	48.58	
2014-5-6	12:00:00	52.64	52.68	45.81	52.64	52.64	48.77	
2014-5-6	11:00:00	52.67	52.67	45.86	52.67	52.64	48.89	
2014-5-6	10:00:00	52.79	52.80	45.94	52.79	52.79	48.98	
2014-5-6	9:00:00	52.76	52.73	45.98	52.76	52.75	48.97	
2014-5-6	8:00:00	52.80	52.81	45.99	52.80	52.80	49.07	
2014-5-6	7:00:00	52.68	52.68	45.94	52.68	52.69	48.94	
2014-5-6	6:00:00	52.70	52.68	46.02	52.70	52.70	49.04	
2014-5-6	5:00:00	52.62	52.62	45.97	52.62	52.60	48.94	
2014-5-6	4:00:00	52.49	52.50	45.88	52.49	52.47	48.80	
2014-5-6	3:00:00	52.65	52.66	45.98	52.65	52.64	48.84	
2014-5-6	2:00:00	52.99	53.00	46.26	52.99	53.00	49.14	
2014-5-6	1:00:00	53.03	53.04	46.27	53.03	53.03	49.13	
2014-5-6	00:00:00	52.93	52.89	46.20	52.93	52.96	49.10	
2014-5-5	23:00:00	52.97	53.01	46.22	52.98	52.98	49.24	
2014-5-5	22:00:00	52.82	52.81	46.16	52.82	52.80	49.19	
2014-5-5	21:00:00	52.92	52.89	46.30	52.92	52.93	49.31	
2014-5-5	20:00:00	53.28	53.30	46.52	53.28	53.29	49.52	
2014-5-5	19:00:00	53.24	53.24	46.46	53.24	53.25	49.35	
2014-5-5	18:00:00	53.23	53.22	46.48	53.23	53.22	49.42	
2014-5-5	17:00:00	53.36	53.39	46.62	53.36	53.35	49.53	
2014-5-5	16:00:00	53.37	53.38	46.63	53.37	53.37	49.40	
2014-5-5	15:00:00	52.90	52.86	46.38	52.90	52.88	48.95	
2014-5-5	14:00:00	53.43	53.47	46.70	53.43	53.39	49.56	
2014-5-5	13:00:00	53.16	53.13	46.50	53.16	53.13	49.26	
2014-5-5	12:00:00	53.21	53.20	46.55	53.21	53.21	49.22	
2014-5-5	11:00:00	53.30	53.28	46.67	53.29	53.28	49.45	
2014-5-5	10:00:00	53.28	53.31	46.54	53.28	53.25	49.56	
2014-5-5	9:00:00	53.23	53.22	46.59	53.23	53.21	49.59	
2014-5-5	8:00:00	53.38	53.40	46.68	53.38	53.43	49.59	
2014-5-5	7:00:00	53.26	53.26	46.63	53.26	53.31	49.63	
2014-5-5	6:00:00	53.17	53.18	46.56	53.17	53.18	49.55	
2014-5-5	5:00:00	53.06	53.05	46.46	53.06	53.07	49.42	
2014-5-5	4:00:00	53.27	53.29	46.63	53.27	53.29	49.61	
2014-5-5	3:00:00	53.34	53.34	46.73	53.35	53.37	49.66	
2014-5-5	2:00:00	53.58	53.57	46.94	53.58	53.59	49.84	
2014-5-5	1:00:00	53.46	53.45	46.89	53.46	53.46	49.79	
2014-5-5	00:00:00	53.43	53.41	46.92	53.43	53.40	49.80	
2014-5-4	23:00:00	53.36	53.39	46.90	53.36	53.36	49.68	
2014-5-4	22:00:00	53.41	53.36	46.95	53.41	53.38	49.66	
2014-5-4	21:00:00	53.30	53.31	46.83	53.30	53.29	49.57	
2014-5-4	20:00:00	53.40	53.42	46.93	53.40	53.41	49.58	
2014-5-4	19:00:00	53.49	53.51	47.01	53.49	53.43	49.71	
2014-5-4	18:00:00	53.30	53.30	46.86	53.30	53.30	49.42	
2014-5-4	17:00:00	53.29	53.27	46.81	53.29	53.27	49.44	
2014-5-4	16:00:00	53.32	53.35	46.82	53.32	53.36	49.44	
2014-5-4	15:00:00	53.37	53.36	46.86	53.37	53.43	49.43	
2014-5-4	14:00:00	53.35	53.37	46.79	53.34	53.35	49.50	
2014-5-4	13:00:00	53.33	53.33	46.83	53.33	53.32	49.58	
2014-5-4	12:00:00	53.23	53.23	46.71	53.23	53.22	49.53	
2014-5-4	11:00:00	53.26	53.28	46.69	53.26	53.27	49.53	
2014-5-4	10:00:00	53.42	53.42	46.79	53.42	53.39	49.74	
2014-5-4	9:00:00	53.60	53.63	46.99	53.60	53.69	49.81	
2014-5-4	8:00:00	53.50	53.54	46.90	53.50	53.50	49.72	
2014-5-4	7:00:00	53.48	53.47	46.98	53.48	53.49	49.87	
2014-5-4	6:00:00	53.63	53.66	47.04	53.63	53.60	49.87	
2014-5-4	5:00:00	53.77	53.73	47.22	53.77	53.73	50.02	
2014-5-4	4:00:00	53.78	53.82	47.20	53.78	53.80	49.95	
2014-5-4	3:00:00	53.52	53.48	47.11	53.52	53.54	49.89	
2014-5-4	2:00:00	53.63	53.64	47.07	53.63	53.64	49.83	
2014-5-4	1:00:00	53.49	53.51	46.91	53.49	53.50	49.64	
2014-5-4	00:00:00	53.44	53.48	46.85	53.44	53.42	49.66	
2014-5-3	23:00:00	53.79	53.79	47.13	53.79	53.73	49.87	
2014-5-3	22:00:00	53.72	53.65	47.09	53.72	53.76	49.64	
2014-5-3	21:00:00	53.67	53.62	47.08	53.67	53.69	49.69	
2014-5-3	20:00:00	53.44	53.43	46.86	53.44	53.43	49.59	
2014-5-3	19:00:00	53.36	53.34	46.78	53.36	53.35	49.74	
2014-5-3	18:00:00	53.53	53.54	46.91	53.53	53.53	50.06	
2014-5-3	17:00:00	53.64	53.65	46.98	53.64	53.68	49.77	
2014-5-3	16:00:00	53.63	53.61	46.95	53.63	53.67	49.77	
2014-5-3	15:00:00	53.61	53.62	46.85	53.61	53.64	49.74	
2014-5-3	14:00:00	53.46	53.43	46.69	53.47	53.50	49.65	
2014-5-3	13:00:00	53.19	53.20	46.43	53.19	53.17	49.51	
2014-5-3	12:00:00	52.68	52.68	46.04	52.68	52.72	49.17	
2014-5-3	11:00:00	52.76	52.75	46.12	52.75	52.73	49.28	
2014-5-3	10:00:00	52.85	52.81	46.23	52.85	52.84	49.26	
2014-5-3	9:00:00	52.91	52.89	46.20	52.90	52.90	49.24	
2014-5-3	8:00:00	52.85	52.87	46.18	52.85	52.84	49.25	
2014-5-3	7:00:00	52.85	52.83	46.20	52.85	52.85	49.22	
2014-5-3	6:00:00	52.82	52.82	46.16	52.83	52.84	49.13	
2014-5-3	5:00:00	52.66	52.65	46.01	52.66	52.64	49.01	
2014-5-3	4:00:00	52.78	52.78	46.16	52.79	52.77	49.04	
2014-5-3	3:00:00	53.27	53.29	46.48	53.27	53.29	49.49	
2014-5-3	2:00:00	52.85	52.82	46.20	52.85	52.83	49.01	
2014-5-3	1:00:00	52.37	52.39	45.90	52.37	52.36	48.68	
2014-5-3	00:00:00	53.32	53.30	46.70	53.31	53.31	49.43	
2014-5-2	23:00:00	53.20	53.21	46.69	53.20	53.20	49.41	
2014-5-2	22:00:00	53.20	53.23	46.68	53.20	53.20	49.47	
2014-5-2	21:00:00	52.96	52.97	46.54	52.96	52.93	49.32	
2014-5-2	20:00:00	53.01	53.00	46.54	53.01	53.01	49.33	
2014-5-2	19:00:00	53.03	53.01	46.54	53.03	53.04	49.30	
2014-5-2	18:00:00	52.76	52.79	46.30	52.76	52.72	49.03	
2014-5-2	17:00:00	53.27	53.29	46.76	53.28	53.24	49.56	
2014-5-2	16:00:00	53.11	53.16	46.67	53.11	53.10	49.52	
2014-5-2	15:00:00	52.83	52.87	46.47	52.83	52.84	49.29	
2014-5-2	14:00:00	53.18	53.17	46.71	53.18	53.19	49.34	
2014-5-2	13:00:00	53.25	53.24	46.73	53.25	53.25	49.36	
2014-5-2	12:00:00	53.27	53.22	46.77	53.27	53.29	49.29	
2014-5-2	11:00:00	53.05	53.04	46.60	53.05	53.08	48.80	
2014-5-2	10:00:00	53.26	53.27	46.63	53.26	53.23	49.45	
2014-5-2	9:00:00	53.28	53.22	46.67	53.28	53.29	49.72	
2014-5-2	8:00:00	53.22	53.23	46.60	53.22	53.25	49.65	
2014-5-2	7:00:00	53.09	53.06	46.57	53.09	53.08	49.62	
2014-5-2	6:00:00	53.23	53.26	46.63	53.23	53.24	49.69	
2014-5-2	5:00:00	53.07	53.06	46.56	53.07	53.06	49.49	
2014-5-2	4:00:00	53.21	53.18	46.61	53.20	53.20	49.58	
2014-5-2	3:00:00	53.08	53.05	46.49	53.08	53.04	49.64	
2014-5-2	2:00:00	53.10	53.10	46.45	53.10	53.12	49.58	
2014-5-2	1:00:00	53.03	53.01	46.43	53.03	53.04	49.58	
2014-5-2	00:00:00	53.27	53.25	46.69	53.27	53.27	49.62	
2014-5-1	23:00:00	53.44	53.41	46.74	53.44	53.41	49.54	
2014-5-1	22:00:00	53.87	53.85	47.12	53.87	53.86	50.17	
2014-5-1	21:00:00	54.16	54.16	47.39	54.16	54.21	50.53	
2014-5-1	20:00:00	53.79	53.76	47.13	53.78	53.75	50.46	
2014-5-1	19:00:00	53.96	53.93	47.35	53.97	54.00	50.26	
2014-5-1	18:00:00	53.05	53.03	46.69	53.05	53.06	49.62	
2014-5-1	17:00:00	52.81	52.79	46.49	52.81	52.83	49.32	
2014-5-1	16:00:00	52.83	52.82	46.48	52.83	52.82	49.35	
2014-5-1	15:00:00	52.77	52.76	46.35	52.77	52.76	49.22	
2014-5-1	14:00:00	52.37	52.36	46.01	52.37	52.37	48.85	
